U.S. exports of total animal products 1/,,,,,,,,,,,,,,,,,,,,U.S. agricultural exports of total animal products 1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,States ranked 2017,,,,,,,,,,,,,,,,,,,,"Top ten states, 2017",,,,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,Rank,Top 10,Billion $,,,,,,,,,
,,,,,,,,Million $,,,,,,,,,,,,,,,,,,,,Million $,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,178.6,195.1,171.9,189.2,196.7,223.9,254.3,324.4,438.3,374.8,491.5,601.8,644.7,683.3,723.7,617.2,546.5,639.3,,North Dakota,88.9,104.3,110.0,114.1,66.1,78.6,88.2,109.2,131.9,113.4,159.7,185.6,180.6,205.5,241.8,178.7,171.4,201.7,,35,,,,,,,,,,,
Oklahoma,415.1,393.6,373.5,432.6,306.2,377.3,426.2,479.2,569.6,516.4,693.3,944.7,873.8,885.7,919.2,799.3,778.5,862.1,,Wyoming,96.6,109.6,97.2,99.5,59.4,61.6,76.1,90.8,116.4,121.0,142.2,193.5,200.6,203.7,207.1,167.2,162.2,180.9,,36,,,,,,,,,,,
Oregon,94.3,90.4,87.1,94.6,77.3,87.4,105.8,115.3,154.6,130.4,164.4,217.6,229.1,246.8,266.2,225.4,206.8,231.6,,South Carolina,89.3,103.1,85.4,99.3,104.2,126.2,131.0,171.5,219.1,201.4,215.6,260.6,273.5,268.6,225.2,178.0,169.8,180.3,,37,,,,,,,,,,,
Pennsylvania,234.0,261.8,223.8,240.6,247.9,283.0,307.4,416.2,530.8,419.2,566.7,706.2,747.6,838.9,884.9,698.2,602.1,706.1,,Maryland,99.3,105.9,88.1,74.5,76.4,95.2,95.1,134.3,160.9,133.3,143.7,181.7,205.3,209.7,200.8,161.3,152.7,165.3,,38,,,,,,,,,,,
Rhode Island,1.1,1.6,1.6,1.6,1.5,1.8,1.9,2.1,2.9,2.5,3.1,3.7,4.2,5.7,6.1,5.3,5.0,5.6,,Delaware,59.6,72.0,57.3,58.9,63.8,80.2,68.7,100.6,117.8,116.6,111.6,120.8,136.2,139.1,148.7,109.6,105.6,117.3,,39,,,,,,,,,,,
South Carolina,89.3,103.1,85.4,99.3,104.2,126.2,131.0,171.5,219.1,201.4,215.6,260.6,273.5,268.6,225.2,178.0,169.8,180.3,,Vermont,27.6,30.0,25.2,25.8,29.1,32.9,35.7,53.8,65.6,42.9,67.2,86.1,91.5,114.3,118.9,92.2,83.2,92.4,,40,,,,,,,,,,,
South Dakota,241.8,275.0,260.8,267.4,186.6,221.4,280.0,310.4,409.5,345.0,488.0,591.8,607.1,642.3,692.0,550.8,584.1,660.5,,West Virginia,39.1,39.3,31.4,34.4,28.9,37.6,39.0,49.2,65.1,63.0,70.1,83.9,93.7,97.6,97.7,73.4,78.1,83.7,,41,,,,,,,,,,,
Tennessee,123.3,147.4,121.4,135.0,110.3,127.1,133.6,182.2,187.2,160.3,191.7,222.7,235.6,236.0,246.9,192.9,186.4,204.1,,Maine,81.0,82.6,64.4,60.3,61.3,56.5,60.2,56.1,45.6,44.1,74.5,89.5,86.1,83.6,77.4,67.4,62.7,73.0,,42,,,,,,,,,,,
Texas,"1,069.3","1,109.5",954.9,"1,189.4",674.4,800.5,926.6,"1,189.6","1,410.2","1,283.1","1,565.8","2,180.8","2,045.5","2,218.8","2,216.5","1,959.8","1,760.5","2,005.3",,Nevada,28.4,32.4,25.9,29.6,19.4,23.1,27.0,33.7,35.5,31.7,46.7,58.8,66.3,71.9,89.8,72.5,63.7,72.1,,43,,,,,,,,,,,
Utah,89.4,99.0,96.9,103.6,85.3,104.7,109.9,125.9,169.7,146.3,196.5,248.6,253.1,275.0,307.6,226.5,207.8,241.2,,Hawaii,18.0,17.8,18.0,13.4,11.8,12.0,11.0,15.4,26.9,22.8,27.3,36.4,44.8,40.4,48.4,46.2,43.8,51.9,,44,,,,,,,,,,,
Vermont,27.6,30.0,25.2,25.8,29.1,32.9,35.7,53.8,65.6,42.9,67.2,86.1,91.5,114.3,118.9,92.2,83.2,92.4,,Connecticut,26.4,27.4,22.9,21.2,20.4,20.6,24.5,33.5,25.9,22.1,29.3,36.1,39.0,46.8,42.2,35.8,33.6,39.1,,45,,,,,,,,,,,
Virginia,209.9,230.7,206.3,245.6,185.7,216.3,229.2,281.4,337.9,278.3,344.2,403.3,401.4,422.5,437.6,344.1,337.8,369.8,,New Jersey,54.6,55.2,50.4,47.5,41.6,44.9,42.9,54.6,21.9,20.6,28.1,34.9,31.0,37.0,35.2,33.0,30.1,38.6,,46,,,,,,,,,,,
Washington,177.6,185.7,171.0,160.8,134.3,160.4,172.5,265.4,302.3,234.9,322.8,397.5,432.0,507.0,514.9,433.8,395.2,441.9,,Massachussetts,14.7,15.5,13.8,13.8,12.6,14.5,16.0,28.6,22.2,20.2,28.6,35.2,34.8,32.4,31.9,26.6,26.2,29.2,,47,,,,,,,,,,,
West Virginia,39.1,39.3,31.4,34.4,28.9,37.6,39.0,49.2,65.1,63.0,70.1,83.9,93.7,97.6,97.7,73.4,78.1,83.7,,New Hampshire,5.5,6.7,6.4,6.7,6.7,7.6,8.5,11.7,14.1,11.6,15.9,18.5,21.3,22.3,24.8,20.2,18.6,20.4,,48,,,,,,,,,,,
Wisconsin,311.3,361.5,315.2,315.3,350.2,417.7,496.6,703.4,870.8,628.1,858.0,"1,087.9","1,144.4","1,349.6","1,404.4","1,155.1","1,059.3","1,215.7",,Rhode Island,1.1,1.6,1.6,1.6,1.5,1.8,1.9,2.1,2.9,2.5,3.1,3.7,4.2,5.7,6.1,5.3,5.0,5.6,,49,,,,,,,,,,,
Wyoming,96.6,109.6,97.2,99.5,59.4,61.6,76.1,90.8,116.4,121.0,142.2,193.5,200.6,203.7,207.1,167.2,162.2,180.9,,Alaska,0.3,0.3,0.4,1.5,1.4,1.5,1.7,1.8,1.7,1.4,1.9,2.1,2.0,1.6,1.7,1.5,1.6,2.0,,50,,,,,,,,,,,
United States,"11,709.2","12,556.1","11,226.0","12,269.3","10,474.6","12,345.2","13,673.7","17,405.6","21,540.5","18,257.9","22,560.9","28,128.3","29,420.5","31,580.4","33,187.1","27,015.3","26,102.4","29,164.8",,United States,"11,709.2","12,556.1","11,226.0","12,269.3","10,474.6","12,345.2","13,673.7","17,405.6","21,540.5","18,257.9","22,560.9","28,128.3","29,420.5","31,580.4","33,187.1","27,015.3","26,102.4","29,164.8",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/ Export values are calibrated such that the sum of State export estimates for a commodity equals the total U.S. export value for the commodity.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data sources: USDA, Economic Research Service; USDA, Foreign Agricultural Service, Global Agricultural Trade System.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
